2020-08-17 09:37:26.104 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$ClientMessages$Builder]
2020-08-17 09:37:26.105 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$ClientMessages]
2020-08-17 09:37:26.105 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Error$1]
2020-08-17 09:37:26.106 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Error$Builder]
2020-08-17 09:37:26.106 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Error]
2020-08-17 09:37:26.106 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Ok$1]
2020-08-17 09:37:26.107 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Ok$Builder]
2020-08-17 09:37:26.107 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$Ok]
2020-08-17 09:37:26.108 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$ServerMessages$1]
2020-08-17 09:37:26.108 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$ServerMessages$Builder]
2020-08-17 09:37:26.111 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.Mysqlx$ServerMessages]
2020-08-17 09:37:26.112 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capabilities$1]
2020-08-17 09:37:26.112 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capabilities$Builder]
2020-08-17 09:37:26.113 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capabilities]
2020-08-17 09:37:26.113 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesGet$1]
2020-08-17 09:37:26.113 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesGet$Builder]
2020-08-17 09:37:26.114 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesGet]
2020-08-17 09:37:26.114 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesSet$1]
2020-08-17 09:37:26.114 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesSet$Builder]
2020-08-17 09:37:26.115 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$CapabilitiesSet]
2020-08-17 09:37:26.115 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capability$1]
2020-08-17 09:37:26.116 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capability$Builder]
2020-08-17 09:37:26.116 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Capability]
2020-08-17 09:37:26.116 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Close$1]
2020-08-17 09:37:26.117 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Close$Builder]
2020-08-17 09:37:26.117 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Close]
2020-08-17 09:37:26.118 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Compression$1]
2020-08-17 09:37:26.119 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Compression$Builder]
2020-08-17 09:37:26.120 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxConnection$Compression]
2020-08-17 09:37:26.123 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Collection$1]
2020-08-17 09:37:26.124 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Collection$Builder]
